PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1629011,2021-22,00,1610612752,NYK,24.0,72,62,1848,261,343,0.761,0,0,0.0,88,181,0.486,295,322,617,38,58,133,60,195,610
1629011,2022-23,00,1610612752,NYK,25.0,59,58,1589,188,280,0.671,0,0,0.0,59,122,0.484,267,288,555,53,56,109,41,160,435
1629011,2023-24,00,1610612752,NYK,26.0,31,21,768,73,127,0.575,0,0,0.0,27,66,0.409,142,121,263,18,37,35,25,55,173
1629011,2024-25,00,1610612752,NYK,27.0,17,3,290,37,56,0.661,0,0,0.0,13,19,0.684,52,49,101,13,16,18,10,26,87
1629011,2025-26,00,1610612752,NYK,28.0,60,16,1175,149,206,0.723,0,0,0.0,42,103,0.408,252,273,525,52,56,70,41,127,340
1628969,2018-19,00,1610612756,PHX,22.0,82,56,2417,242,563,0.43,105,313,0.335,95,118,0.805,56,208,264,173,129,38,70,201,684
1628969,2019-20,00,1610612756,PHX,23.0,73,32,2042,247,484,0.51,70,194,0.361,103,122,0.844,66,226,292,129,102,46,73,163,667
1628969,2020-21,00,1610612756,PHX,24.0,72,72,2348,363,669,0.543,134,315,0.425,110,131,0.84,76,233,309,152,76,63,57,116,970
1628969,2021-22,00,1610612756,PHX,25.0,82,82,2854,458,858,0.534,115,312,0.369,131,157,0.834,74,273,347,185,96,36,68,150,1162
1628969,2022-23,00,1610612756,PHX,26.0,56,56,2040,354,764,0.463,101,261,0.387,156,174,0.897,56,187,243,201,65,45,78,115,965
1628969,2022-23,00,1610612751,BKN,26.0,27,27,923,239,503,0.475,68,181,0.376,160,179,0.894,23,98,121,72,26,16,49,44,706
1628969,2022-23,00,0,TOT,26.0,83,83,2963,593,1267,0.468,169,442,0.382,316,353,0.895,79,285,364,273,91,61,127,159,1671
1628969,2023-24,00,1610612751,BKN,27.0,82,82,2854,564,1294,0.436,220,592,0.372,258,317,0.814,68,304,372,299,81,30,164,116,1606
1628969,2024-25,00,1610612752,NYK,28.0,82,82,3036,592,1183,0.5,164,463,0.354,96,118,0.814,71,188,259,306,75,43,132,127,1444
1628969,2025-26,00,1610612752,NYK,29.0,82,82,2692,472,963,0.49,156,420,0.371,81,98,0.827,79,233,312,304,107,62,83,160,1181
